appName;project;Repositorio;Url repositorio;country;ocplabel;usage;baseImageVersion;secret;secretName;configmap;congtimapName;volume;mountpath;cpuLimits;cpuRequest;memoryLimits;memeoryRequests;replicas;sonarStrictToAllBranches;runtimeVersion;node;sonar;Token;TokenDev;TokenUat;TokenPrd;TokenDrs;NameSpaceDev;NameSpaceUat;NameSpacePrd;NameSpaceDrs
app1;proyecto1;repo1-app1;https://github.com/org/repo1-app1;MX;label1;internal;1.0.0;secret1;secretName1;config1;configMap1;vol1;/mnt/vol1;500m;250m;512Mi;256Mi;2;true;16;node1;sonar1;token1;tokenDev1;tokenUat1;tokenPrd1;tokenDrs1;nsDev1;nsUat1;nsDevPrd1;nsDrs1
app1b;proyecto1;repo1-app1b;https://github.com/org/repo1-app1b;MX;label1;internal;1.0.0;secret1b;secretName1b;config1b;configMap1b;vol1b;/mnt/vol1b;600m;300m;1Gi;512Mi;1;false;16;node1b;sonar1b;token1b;tokenDev1b;tokenUat1b;tokenPrd1b;tokenDrs1b;nsDev1b;nsUat1b;nsDevPrd1b;nsDrs1b
app2;proyecto2;repo2-app2;https://github.com/org/repo2-app2;CO;label2;external;1.0.1;secret2;secretName2;config2;configMap2;vol2;/mnt/vol2;600m;300m;1Gi;512Mi;1;false;18;node2;sonar2;token2;tokenDev2;tokenUat2;tokenPrd2;tokenDrs2;nsDev2;nsUat2;nsDevPrd2;nsDrs2
app3;proyecto3;repo3-app3;https://github.com/org/repo3-app3;AR;label3;internal;1.0.2;secret3;secretName3;config3;configMap3;vol3;/mnt/vol3;700m;350m;2Gi;1Gi;3;true;20;node3;sonar3;token3;tokenDev3;tokenUat3;tokenPrd3;tokenDrs3;nsDev3;nsUat3;nsDevPrd3;nsDrs3
app3b;proyecto3;repo3-app3b;https://github.com/org/repo3-app3b;AR;label3;internal;1.0.2;secret3b;secretName3b;config3b;configMap3b;vol3b;/mnt/vol3b;800m;400m;2Gi;1Gi;2;false;20;node3b;sonar3b;token3b;tokenDev3b;tokenUat3b;tokenPrd3b;tokenDrs3b;nsDev3b;nsUat3b;nsDevPrd3b;nsDrs3b
app4;proyecto4;repo4-app4;https://github.com/org/repo4-app4;CL;label4;external;1.0.3;secret4;secretName4;config4;configMap4;vol4;/mnt/vol4;800m;400m;256Mi;128Mi;2;false;14;node4;sonar4;token4;tokenDev4;tokenUat4;tokenPrd4;tokenDrs4;nsDev4;nsUat4;nsDevPrd4;nsDrs4
app5;proyecto5;repo5-app5;https://github.com/org/repo5-app5;PE;label5;internal;1.0.4;secret5;secretName5;config5;configMap5;vol5;/mnt/vol5;900m;450m;768Mi;384Mi;1;true;12;node5;sonar5;token5;tokenDev5;tokenUat5;tokenPrd5;tokenDrs5;nsDev5;nsUat5;nsDevPrd5;nsDrs5
app5b;proyecto5;repo5-app5b;https://github.com/org/repo5-app5b;PE;label5;internal;1.0.4;secret5b;secretName5b;config5b;configMap5b;vol5b;/mnt/vol5b;950m;475m;1Gi;512Mi;2;false;12;node5b;sonar5b;token5b;tokenDev5b;tokenUat5b;tokenPrd5b;tokenDrs5b;nsDev5b;nsUat5b;nsDevPrd5b;nsDrs5b
app6;proyecto6;repo6-app6;https://github.com/org/repo6-app6;app6;MX;label6;external;1.0.5;secret6;secretName6;config6;configMap6;vol6;/mnt/vol6;1000m;500m;1.5Gi;750Mi;2;false;16;node6;sonar6;token6;tokenDev6;tokenUat6;tokenPrd6;tokenDrs6;nsDev6;nsUat6;nsDevPrd6;nsDrs6
app7;proyecto7;repo7-app7;https://github.com/org/repo7-app7;app7;CO;label7;internal;1.0.6;secret7;secretName7;config7;configMap7;vol7;/mnt/vol7;1100m;550m;2.5Gi;1.25Gi;3;true;18;node7;sonar7;token7;tokenDev7;tokenUat7;tokenPrd7;tokenDrs7;nsDev7;nsUat7;nsDevPrd7;nsDrs7
app7b;proyecto7;repo7-app7b;https://github.com/org/repo7-app7b;app7b;CO;label7;internal;1.0.6;secret7b;secretName7b;config7b;configMap7b;vol7b;/mnt/vol7b;1200m;600m;2.5Gi;1.25Gi;2;false;18;node7b;sonar7b;token7b;tokenDev7b;tokenUat7b;tokenPrd7b;tokenDrs7b;nsDev7b;nsUat7b;nsDevPrd7b;nsDrs7b
app8;proyecto8;repo8-app8;https://github.com/org/repo8-app8;app8;AR;label8;external;1.0.7;secret8;secretName8;config8;configMap8;vol8;/mnt/vol8;1200m;600m;512Mi;256Mi;2;false;20;node8;sonar8;token8;tokenDev8;tokenUat8;tokenPrd8;tokenDrs8;nsDev8;nsUat8;nsDevPrd8;nsDrs8
app9;proyecto9;repo9-app9;https://github.com/org/repo9-app9;app9;CL;label9;internal;1.0.8;secret9;secretName9;config9;configMap9;vol9;/mnt/vol9;1300m;650m;1Gi;512Mi;1;true;14;node9;sonar9;token9;tokenDev9;tokenUat9;tokenPrd9;tokenDrs9;nsDev9;nsUat9;nsDevPrd9;nsDrs9
app9b;proyecto9;repo9-app9b;https://github.com/org/repo9-app9b;app9b;CL;label9;internal;1.0.8;secret9b;secretName9b;config9b;configMap9b;vol9b;/mnt/vol9b;1400m;700m;1Gi;512Mi;1;true;14;node9b;sonar9b;token9b;tokenDev9b;tokenUat9b;tokenPrd9b;tokenDrs9b;nsDev9b;nsUat9b;nsDevPrd9b;nsDrs9b
app10;proyecto10;repo10-app10;https://github.com/org/repo10-app10;app10;PE;label10;external;1.0.9;secret10;secretName10;config10;configMap10;vol10;/mnt/vol10;1400m;700m;2Gi;1Gi;2;false;12;node10;sonar10;token10;tokenDev10;tokenUat10;tokenPrd10;tokenDrs10;nsDev10;nsUat10;nsDevPrd10;nsDrs10
app11;proyecto11;repo11-app11;https://github.com/org/repo11-app11;app11;MX;label11;internal;1.1.0;secret11;secretName11;config11;configMap11;vol11;/mnt/vol11;1500m;750m;256Mi;128Mi;3;true;16;node11;sonar11;token11;tokenDev11;tokenUat11;tokenPrd11;tokenDrs11;nsDev11;nsUat11;nsDevPrd11;nsDrs11
app11b;proyecto11;repo11-app11b;https://github.com/org/repo11-app11b;app11b;MX;label11;internal;1.1.0;secret11b;secretName11b;config11b;configMap11b;vol11b;/mnt/vol11b;1600m;800m;256Mi;128Mi;3;true;16;node11b;sonar11b;token11b;tokenDev11b;tokenUat11b;tokenPrd11b;tokenDrs11b;nsDev11b;nsUat11b;nsDevPrd11b;nsDrs11b
app12;proyecto12;repo12-app12;https://github.com/org/repo12-app12;app12;CO;label12;external;1.1.1;secret12;secretName12;config12;configMap12;vol12;/mnt/vol12;1600m;800m;768Mi;384Mi;2;false;18;node12;sonar12;token12;tokenDev12;tokenUat12;tokenPrd12;tokenDrs12;nsDev12;nsUat12;nsDevPrd12;nsDrs12
